req,res
피부는 주로  어떤 제품 사용하세요?,피부 중에서 어떤 거 말씀하시는 거에요?
쿠션 팩트라던지 비비라던지 선크림이라던지요!,흠... 쿠션은 나스꺼 쓰고 비비는 안쓰고 선크림은 일제이긴 한데 아넥사 써요!
틴트는 색깔도 다양하죠!,틴트 여러 가지 쓰기는 하는데 주위에서 그냥 준거 써요 ㅋㅋ/입생 하나있고?
바디 로션는 어디꺼 사용하세요?,바디로션은 그냥 엄마가 주는 거 발라서 브랜드 잘 모르겠어요 하하
건강을 자주 신경 쓰시는 편이신가요?,네!/제가 장이 쓰레기라 좀 챙기는 편이에요!
매년 건강검진은 받으시고 계세요?,요번에 한 번 받아봤어요!/쌤은 받아보셨나요?
내시경은 해보섰어요?,내시경 해봤어요!/요번에 위랑 대장 다 내봤어요
헐 그 수면내시경 하신거예요?,네!/선생님 수면 내시경 해 본 경험 있나요?
헛소리 안 하셨어요?,ㅋㅋ 헛소리 했는지 안 했는지도 모르던데요?/뭔가 주변사람이 있어야 알 수 있을 듯?
결과는 괜찮으셨어요?,아니/맨날 좀 체하고 장염 잘 걸려서 한 건데 지금처럼 잘 지내면 된대요 어이없어요 정말
다행이에요!,뭐 이상이 있거나 하지는 않은 거 보니까 스트레스래요!
스트레스가 모든 병의 원인이죠 ㅠ,요즘에도 스트레스 많이 받아서 걱정이에요 ㅠㅠ
전자랜드 이런 곳 가서 직접 구매 해보셨어요,쓰읍 아니요/하이마트 같은 곳을 말하시는 건가요?
직접가서 사시는 편이신지  온라인으로  사시는 편이신지요!,저는 주로 직접가서 사는 편인데 사 봤던 거는 온라인으로 사요!/쌤은요?
요즘엔 상세페이지가 잘 나와있어서 괜찮은 것 같아요,맞아요/뭐지 어제 남친이랑 통화하는데 오늘의 집으로 커튼 고르고 있더라고요 ㅋㅋ
저는 가구 말고는 아이디어스 자주 이용해요!,오오오 아이디어스 사 본 것 중에 추천하는 거 있나요?
선물용 토퍼가 많아요!,토퍼가 뭔지 여쭈어봐도 괜찮나요?
제가 원하는 문구로 설정할 수 있어요!,아아아아 그거 알아요 맞아요/그거 아이디어스로 많이 사더라고요 ㅋㅋ/뭐지 그 돈 나가는 총 이런 것도 많이 사는 듯 하더라고요?
가격 비교할 때는 에누리닷컴 자주 이용해요!,에누리 닷컴 처음 들어보는데 왠지 믿음이 가는 추천이군요!
최저가 찾기에 딱 좋아요 한번 사용해보세요!,그럴게요!/좋은  정보 알려줘서 고맙습니다!
혹시 제일 좋아하는 드라마 뭐예요?,저는 시그널 정말 재미 있게 봤어요!
기억이 잘 안나네요,그거 tvn이었나 거기였을걸요?
그거 말고는 무슨 드라마 또 재미 있었어요?,음... 지금 생각나는 거는 미스터 션샤인이요!/혹시 보셨나요?
혹시 좋아하시는 방송사도 티비엔이세요?,네!/대부분 티비엔 드라마들 이 짱짱 재미 있더라고요?/최근에 본 드라마 뭐에요?
보셨어요?,아니요/저는 펜트하우스 본적 없어요!/즐겨 보시나요?
정말 막장이라 이제는 시즌3라 의리로 보고 있어요!,호오 들어보면 막 죽은 사람들 다 살아난다고 하던데 ㅋㅋ
대박 부동산도 재밌었어요!,아 순간 진짜 좀비 드라마 라는 줄 알았어요 ㅋㅋ/대박 부동산 남친이 보던데 하아 나 빼고 다보네요
ㅋㅋ 그거 결말이 생각보다 괜찮았어요 !,오오오 나중에 시험 끝나면 봐야겠네요!
만화 보시는 거 좋아하세요?,저는 웹툰을 즐겨봐요!/쌤은 보시나요?
웹툰은  어떤 게 재밌나요?,저는 주로 네이버 웹툰에서 대학일기 그리셨던 자까님 작품이나 모죠의 일기 그런 거 생활웹툰 재미있다고 생각해요 크크/혹시 아시나요?
영화는 어떤 장르 좋아하세요?,아 모죠의 일기는 모죠라는 작가님이세요!/영화는... 디즈니 아니면 마블이나.../이거 두개를 제일 좋아하네요 ㅋㅋ/쌤은요?
최근에 개봉한 블랙위도우도 보셨어요?,당연히 봤습니다 ㅠㅠ/오랜만에 본 블록버스터 영화라 진짜 반가웠어요!/혹시 영화 시사회 같은 거 가신적 있나요?
가보신거 있으세요?,저도 없어요 ㅠㅠ/저 아는 분은 영화 정말 좋아하셔서 그런 거 몇번 가보셨었는데 진짜 재미 있대요 ㅠㅠ/영화배우들 직접 볼 수 있고 그렇다고 하더라고요!
웹툰말고 TV에서 하는 만화중에서는 어떤 거 보셨어요?,저는 어렸을 때는 그냥 빛의 전사 프리큐어 막 이런거?/레미레미도레미 이런거 봤어요 ㅋㅋ
저는 도라에몽 짱구 아따맘마 다다다 좋아했어요!,엄마가 짱구 보면 버릇 나빠진다고 투니버스를 안나오게 하셨어요... ㅠㅠ/그래서 도라에몽이랑 짱구랑 아따맘마 이런거 다 못보긴 했는데 친구집 가서 짱구를 보긴 했네요 ㅋㅋ/혹시 짱구 극장판 이런거 보셨었나요?
뭔가 그 짱구만의 엉뚱한 목소리가 아니라서 투니버스에서만 봤어요!,헐 짱구 목소리 달라요?/몰랐어요.../추억 돋네요 하하
평소에 음료 어떤 거 마셔?,나는 달달한 음료를 주로 마셔/너는 어떤 거 마셔?
나는 아이스 아메리카노도 좋아하고 달달한 것도 가끔 마셔!,제일 좋아하는 음식은 뭐야?
너는?,나도 떡볶이 좋아하고 곱창도 완전 좋아해!/그럼 안 먹는 음식은 있어?/나는 다이어트도 중요하다 생각하는데 것보다 피부가 중요하다고 생각해 개인적으로!/남자든 여자든 피부가 좋으면 인물이 사는 것 같더라구
다 잘 먹어,나도 안 먹는 음식은 거의 없지만 맛있는 것만 먹는다!
우리 저번에 배달시켜서 먹은 노티드 진짜 맛있었지?,맞아 먹어본 도넛 중에 진짜 손꼽히더라/오늘 점심은 뭐 먹을 거야?
넌 뭐 먹을 거야?,나는 못 사와서 뭐 먹을지 모르겠다/추천 좀 해줘!
컵밥도 종류가 다양해서 먹을 거 꽤 많던데 컵밥은 어때?,컵밥 좋지/이제 주말인데 저녁엔 뭐 먹을 거야?
양꼬치 좋아해?,완전 좋아하지/역삼에 맛있는 데가 있는데 안 정했으면 거기로 가는 거 추천해!
회사 출근할 때 보통 뭐 타고 와?,나는 버스랑 지하철을 타/출퇴근 시간이 얼마나 돼?
평소에 운전은 해?,아니 면허는 있지만 거의 안 해.../너는 면허 땄어?
나중에 차 사면 어떤 거 사고 싶어?,나는 어릴 때부터 갖고 싶은 차가 있었어/지프 랭글러 좋아해/나중에 경제력이 생기면 사야지 하하/너는 그럼 차 있어?
나도 나중에는 SUV 사고 싶어!,그래도 차 있으면 어디 다니기도 편하고 좋겠다 그치?
차 타고 다니는 거에 적응되니까 대중교통 타고 다닐 때 너무 힘들어 ㅠㅠ,평소에 대중교통은 어떤 이동 수단 좋아해?
평소에 길 잘 찾는 편이야? 아니면 길치야?,나는 엄청난 길치야/길도 모르면서 혼자 막 갈 때가 많아/그래서 놀림 좀 당했지 하하/버스 그럼 오래 타는 것도 괜찮아?
너는 버스랑 지하철 중에는 어떤 게 더 나아?,나도 당연히 버스지!/나는 답답한 걸 못 참아서 지하철은 불편해 해/버스 타고 다니면서 창밖 보면 은근 힐링이더라고/지하철은 어떤 게 별로야?
너는 어떤 점이 별로야?,지하철은 밖이 거의 안 보이고 꽉 막혀 있다는 점이 너무 싫더라고!
가까운 사람 중에 군대 갔다 온 사람 있어?,친구들도 몇 명 있고 오빠도 있지/너도 오빠 있다 했지?/오빠 군대 갔을 때 면회 갔었어?
그래도 힘들겠지?,맞아 기간도 갈수록 짧아지고 생활도 편해진다는 것 같은데/그래도 나도 가기 싫었을 것 같아/어릴 때 친구 면회도 가 봤어?
너도 면회 가 본 적 있어?,나는 간 친구들은 주변에 많았는데 면회를 간 적은 한 번도 없어 하하/맨날 간다 해 놓고 안 갔지/그래서 좀 궁금하기도 해/면회 가면 어떤 기분이야?
육군 해군 공군 중에 어디가 제일 힘들 거 같아?,나는 군대에 대해 사실 많이 몰라서 다 힘들 것 같지만 아무래도 특전사가 제일 빡세고 힘들 것 같아 그렇지?
막 유격 훈련 같은 거 하면 제대로 씻지도 못하고 일주일 동안 밖에서 훈련하고 그런다더라,으 난 그런 생활은 정말 못 견딜 것 같아/군대 가야 하는 상황이라면 그런 거 버틸 수 있을 것 같아?
남자들도 대단하지만 여군들도 진짜 대단한 거 같지?,응 어릴 때는 멋모르고 나중에 군대 가서 사람들한테 좋은 이미지가 돼야지 했는데 현실을 알고선.../군대 생활 중 어떤 게 제일 힘들 것 같아?
만약 돈 주고 군대 가라고 하면 얼마 정도 받아야 갈 거 같아? 하하,나는 워낙 힘든 걸 알아서 글쎄.../여름이면 더워서 고생 겨울이면 추워서 고생인데 돈으로 치면... 한 천만 원?/결국 안 가겠단 얘기지 ㅋㅋ/너는?
그치?,맞아 쉬운 일이 아닌데/대부분 어쩔 수 없이 가는 거겠지만 말야!/응응 하루 빨리 좀 상황이 나아졌으면 좋겠어/이제 불편한 것도 안 느끼고 싶어
예전에 학생일 때 학원 많이 다녔어?,음 나는 과외 몇 번 해 봤고 컴퓨터 학원 다닌 게 전부지/많이는 안 다녔어/너는 많이 다녔어?
컴퓨터 학원도 다녔으면 자격증도 있어?,자격증을 위해서 학원을 다녔지만 필기만 따고 실기에서 포기해 버려서 취득까진 못했어 ㅋㅋ/학원 많이 다녀서 따게 된 자격증도 있어?
외국어 공부 따로 하는 거 있어?,것도 맨날 해야지 해야지 하면서 안 하고 있다.../영어 공부는 꼭 해야겠다고 생각하고 있는데/너는 공부하고 싶은 외국어가 있어?
요즘에는 프랑스어나 독일어 같은 언어도 새롭고 재밌을 거 같아!,다들 배우면 좋은 외국어들이네/그런 거는 배우면 학원에서 배우려고 하는 거야?
혼자 하면 잘 안 하게 되려나?,그건 확실히 개인차가 있는 것 같아/의지가 약하면 아무리 학습지 강의 이런 거 있어도 쉽지 않을 것 같아/독학으로 공부 뭐 해 봤어?
학교 다닐 때 제2외국어 뭐 선택했었어?,나는 일본어 선택해서 몇 년이나 배웠었는데 히라가나도 다 까먹었다.../일본어는 좀 알아?
일본 여행 가서도 써먹을 수 있으니까 배워두면 좋겠다,그치/많이 어렵지 않다고 하는데 난 너무 어렵더라고.../불어는 그럼 좀 하는 편이야?
예전에 수능에서 등급 잘 받으려고 아랍어 하는 애들도 있었는데 주변에 있었어?,아랍어 ㅋㅋ/아니 없었어/그건 좀 신기하다!
가족 관계가 어떻게 돼?,나는 아빠 엄마 오빠 쌍둥이 동생 이렇게 있어/너는 부모님하고 따로 살아?
쌍둥이 동생 있으면 잘 통하고 너무 좋을 거 같애!,응 완전 절친이지/가족인데 가족 같은 느낌이라기보다 친구 느낌이야 하하/그래서 너무 좋은 것 같아/너는 오빠랑 사이가 좋아?
넌 오빠랑은 몇 살 차이야?,나는 두 살 차이나/근데 나는 안 친해서 굉장히 어색해.../잘 싸우지도 않겠네?
이제라도 친하게 지내봐!,그래도 부모님하고 친해서 괜찮아... 하하/오빠 말고 다른 형제 있었으면 하고 생각한 적 없어?
너는 오빠도 있고 여동생도 있어서 다른 형제는 생각해 본 적 없으려나?,음 다 있긴 한데 형제가 더 있었으면 좋겠다는 생각은 했었어/나이도 좀 많고 그런 언니 있으면 좋겠다 했지/용돈도 주고 그러잖아/생각 안 해 봤어?
가족들이랑 여행 자주 가?,사회인이 되다 보니 자주는 못 가게 되네/어릴 때 가족들하고 겪은 좋은 추억 있어?
너는 주로 어디로 놀러 갔어?,나는 멀리는 못 가고 집 주변에 있는 뒷산에 간 게 그렇게 좋은 추억으로 남아 있어/좀 따뜻한 기억이랄까?
부모님한테 용돈도 많이 드리고 잘하자 앞으로도~!,맞아 그래야지/앞으로도 우리 더 효도하자!
남자친구랑 헤어진 지 좀 됐는데 요즘 연락하고 있는 사람은 있어?,아 너 좀 촉이 좋은가 보네?/어떻게 알았어/몇 주 연락하는 사람이 있긴 해 하하
어떻게 알게 된 사람이야?,친구랑 카페에서 만나고 있는데 친구의 친구가 갑자기 지나가는 길이라고 들른다는 거야/그래서 얼굴 잠깐 봤는데 그 뒤에 그 친구가 자기 친구한테 나 소개시켜 달라고 했대... 하하
결혼까지 고고,나 아직 죽지 않았나 봐 하하/너는 결혼한 지 얼마나 됐어?
결혼하고 싶은 생각 있어?,나는 전혀 없어/나중이 돼도 없을 것 같긴 해/지금은 그런 나를 위해서 결혼하면 좋은 점이 뭔지 알려주겠니?
연애할 때 기념일 같은 건 잘 챙기는 편이야?,갑자기 너무 부럽다...?/나는 그런 거 다 챙기는 편이야/은근 꽁냥대는 거 좋아해서 다 챙겨주고 챙김 받고 싶어해 하하/그럼 반대로 결혼해서 힘든 건 뭐야?
늘 엄마가 다 해주던 빨래 청소 같은 거 하는 게 너무 귀찮아 ㅠㅠ,집안 일만큼 힘든 게 없지/그래도 난 이미 내가 다 하고 있어서 결혼한다면 덜 힘들긴 하겠다!
아까 그 남자분이랑 잘 되면 나도 인사시켜줘~,근데 뭐 사람 일은 모르는 거니까 이러다가도 갑자기 틀어지거나 할 수도 있지.../너는 결혼 전에 이렇게 틀어질 뻔한 적 없었어?
연애하면서 싸울 때 크게 싸우는 편이야?,나는 싸운다기보다 내가 맘에 안 드는 거 있으면 다 짜증 내는 편이야/나빴지... ㅋㅋ
평소에 운동하는 거 좋아해?,응 나 활동적인 거 좋아해/너는 어떤 운동을 잘 해?
등산이나 낚시 같은 것도 좋아해?,등산은 하고 나면 몸이 너무 개운해져서 좋고 낚시도 한 번 해 봤는데 사색에 잠기게 돼서 뭔가 힐링되더라 ㅋㅋ/너는 등산 잘해?
낚시도 어릴 때 말고는 제대로 해 본 적이 없어서 가보고 싶어,등산은 꾸준히 할수록 산 타는 실력도 체력도 는다고 하던데 맞는 말 같애/은근 운동 안 하나 보네!/그럼 유독 잘하는 운동이 있어?
너는 잘하는 운동이 뭐야?,나는 사실 배드민턴 선수급이야^^/이거는 좀 어때/잘해?
요가 해 본 적 있어?,어려서 학교 특별 활동 이런 걸로 했는데 하는 내내 잠만 잤다.../난 몸이 원체 뻣뻣해서 요가가 쉽지 않더라고/자세 이런 것도 너무 어렵지 않아?
기구 필라테스는 해 봤어?,필라테스는 아예 안 해봤어/그냥 하고 싶다는 생각만 있을 뿐!/너는 해 봤어?
내일 상담받으러 가볼래?,아 그래?/나도 생각만 계속 하고 막상 실천에 옮기지는 못하고 있었는데 그럼 한번 상담 받아볼까?
그래 혼자보다 두 명이 같이 등록하면 더 싸게 해줄 수도 있잖아?,맞아맞아 그럴 수 있지/그럼 같이 상담받고 생각해 보자!
컴퓨터 게임이나 핸드폰 게임 중에 요새 하고 있는 거 있어?,아니 나 게임을 거의 안 해/그래서 많이 모르는데.../나한테 추천해 주고 싶은 게임 있어?
그래도 핸드폰 게임은 캔디크러쉬나 쿠키런 같은 건 해봤어!,다 인기 있어서 들어는 봤던 게임인 것 같아/그럼 어릴 때는 주로 무슨 게임했어?
너도 해본 적 있어?,나도 다 어릴 때 좋아했던 게임들이야 하하/크아랑 카트라이더 엄청 했고 사천성 완전 중독이었어!/너는 사천성 해 봤어?
어떤 게임이야?,진짜 못 빠져 나올걸?/같은 패를 찾아서 없애는 게임인데 나는 그거 완전 추천해!
오 나 그런 거 좋아하는데 다음에 한번 해봐야겠다,응 중독성이 강해서 자꾸 하게 되더라고/또 중독성 강한 게임은 뭐가 있을까?
이 게임 알아?,들어는 봤었던 것 같은데/그거 모바일 게임이지?
지금은 없겠지 그 게임?,스마트폰 아닐 때면 오래돼서 없을 수도 있겠다/최근에는 모바일 카트라이더가 인기 있었는데 해봤어?
너는 했었어?,응 나는 몇 번 해봤는데 진짜 재밌더라/그것도 추천해!
사계절 중에 어떤 계절을 제일 좋아해?,나는 여름 제일 좋아해/너는 어떤 계절이 좋아?
예전에는 겨울이었는데 요즘은 추운 거 못 참겠어 ㅠㅠ,그치 이제 우리가 나이가 들었지.../봄은 사실 안 좋아하는 사람이 없을 것 같아/나는 여름의 그 쨍쨍한 하늘이 좋더라구/비 오는 거는 좋아하는 편이야?
너는 비 오는 날 좋아해?,나도 밖에 있을 때 비 오는 건 싫어/안에서 바라보는 것만 좋더라고 운치 있게 하하/그럼 눈 맞는 것도 별로겠네?
너는 어때?,나도 추운 거 싫어해서 겨울 질색인데 유일하게 버티는 이유가 눈이야/나이 들었지만 아직 순수함이 남아있는지 눈 오면 그렇게 좋아 ㅋㅋ
저번 겨울에 눈 많이 왔을 때 사람들이 눈으로 오리 만든 거 봤어? 하하,아 봤어 봤어/그거 진짜 귀여워 가지고/산책하러 동네 돌아다니는데 누가 그걸 잔뜩 만들어서 벤치에 쌓아 놓은 거야/너무 귀여워서 사진 찍은 기억이 있네!
봄 하면 어떤 게 제일 좋아?,나는 벚꽃이 바람에 막 흩날리는 그런 풍경이 좋아/너는 어느 장면이 기억에 남아?
여름에 물놀이 가는 거 좋아해?,물놀이 엄청 좋아하지/여름 하면 나는 그게 딱 생각나/너도 아무래도 그렇지 않아?
넌 여름이 제일 좋으니까 요즘 제일 행복하겠다,날씨가 많이 덥긴 하지만 그래도 쨍쨍해서 너무 좋지?
우리 이제 대체공휴일로 일요일이랑 공휴일 겹쳤던 것도 월요일에 쉴 수 있는 거 알아?,그렇더라구/나는 안 지가 얼마 안 됐는데 갑자기 복권 당첨된 기분이야 하하/이번에 재난지원금 또 확정된 것도 알아?
어떻게 됐대?,아 나도 완벽하게 잘 아는 건 아닌데 그 건보료 기준으로 자격 되는 사람들 인당 25만 원씩 아마 받을 거야/근데 그게 기준이 높지 않은가 봐/국민 80% 이상이 받을 거래!
그치 ㅠㅠ?,맞아 물론 코로나가 없었으면 이 재난지원금도 없었겠지만/코로나 때문에 이것마저 제약이 생긴다는 게 너무 안타깝다.../우리도 이제 백신을 맞을 수는 있는 것 같은데 맞을 거야?
넌 맞을 거야?,근데 나는 백신 부작용 사례도 너무 많아서 좀 무서운 것 같아 아직도/안 맞을 생각이야!
내 친구는 유학 중인데 백신을 맞아야 자가격리가 면제되니까 편하게 한국이랑 외국 오갈려고 맞으려고 하더라고!,응 것도 좋겠다/이번 달에 그럼 대체공휴일이 있는 건가?
10월에는 두 번이나 대체 공휴일이 있더라고,아 10월에도 그렇게나 있어?/이건 너무 반가운 소식이다/급 기분이 좋아지네 하하/공휴일 지정이 잘 안 되는 줄 알았더니 잘들 일하고 있었나 봐
한글날이랑 개천절이랑 겹친다고 하나 봐 10월엔,응 그랬던 것 같아/나는 아쉽게 휴일이 날아가는 줄 알았지/그때는 코로나가 좀 나아질까?
피부 관리나 시술 같은 거 받아서 관리하는 거 있어?,아니 나는 관리를 그렇게 철저히 하는 편은 아니야/너는 뭐 꾸준히 받는 거 있어?
성형까지는 부담스러우니까 피부 관리샵 같은 데 다니는 건 좋은 거 같아!,피부 관리받으면 아무래도 힐링이 되지/그럼 개인의 미용 만족도를 높이기 위해서는 어떤 게 가장 우선시 되어야 한다고 생각해?
하는 거 좋은 거 같애?,나는 무서워하는 편이지만 스스로 괜찮다 하면 뭐 찬성이지/성형하고 싶은 데 있어?
너무 대수술이 될 거 같은데 돌려깎기? 하하 아니면 이마도 좀 볼록하게 하고 싶긴 해,돌려깎기 그래.../그건 난 누가 시켜준다 해도 못하겠더라/누가 시켜준다면 할 거야?
못 깨어나면 어떡해? ㅋㅋ,그니까 나도 그래서 못하겠어/근데 너 막 필요성이 느껴지는 얼굴이 전혀 아닌데?
여기 하고 나면 다른 데가 부족해 보이고 할 거 같아 그치?,그건 그렇지/누구나 미모 욕심은 있으니 그 마음은 이해가 너무 돼/나는 코가 하고 싶던데 코 생각은 안 했어?
코가 사람 이미지를 되게 많이 좌우하더라고,그치 인상에 영향이 많이 주는 것 같아/조금만 달라져도 얼굴이 확 티가 나
인터넷으로 쇼핑 많이 하는 편이야?,응 요즘 워낙 잘 돼 있다 보니까/최근에 사는 곳들의 대부분은 다 온라인 쇼핑몰인 것 같아/너는 온라인 쇼핑 많이 해?
자주 이용하는 쇼핑몰 있어?,나는 인터넷에 검색해서 그 제품 유명한 쇼핑몰 찾기도 하고 요즘에 지그재그 많이 이용해/진짜 다 있어서 충동구매 장난 아니지.../쿠팡에서 쇼핑 비용이 월에 얼마 정도 돼?
난 마켓컬리도 좋아하는데 여기 이용해봤어?,아 거기는 생각만 하고 아직 안 써봤어/맛있는 게 워낙 많다고 알고 있어서 한번 이용하기 시작하면 계속 살 것 같애 ㅋㅋ/쿠팡에도 간편 음식 많이 파는 걸로 아는데 마켓컬리는 어떤 점이 좋아?
음식 말고 주방 기구나 다른 것도 팔고 품목이 많아졌어 요즘엔,쿠팡보다 더 좋은 것 같은 느낌이다/조만간 이용해보려고 하는데 첫 주문 때 뭘 사면 좋을까?
밀키트도 많아서 이런 것도 사 보면 좋을 거 같아,점심 도시락 사는 거 괜찮겠다/거기서 너는 어떤 거 샀었어?
중고 나라도 이용해봤어?,아 중고나라 옛날에 많이 사용했지/거기서 잘 사면 은근 유용한 것들이 많아/너는 거래해 봤어?
집에서 안 입는 옷들도 팔아본 적 있고 주방용품 같은 거 사보기도 했어,사는 것도 잘 사면 유용한데 파는 것도 괜찮더라고/나는 향수 잘못 사서 그냥 돈 버렸네 했었다가 거기서 팔아봤는데 거의 제값 그대로 받았어
당근마켓은 이용해 본 적 있어?,아니 당근은 아직 안 써봤다/거기는 좀 터무니없는 게 많은 것 같아
요즘에 보고 있는 TV 프로그램이나 드라마 있어?,나는 나 혼자 산다 잘 챙겨 보고 드라마는 요즘 잘 안 보게 되는 것 같아/너는 뭐 즐겨봐?
드라마는 넷플릭스에서 주로 보는데 얼마 전까지는 빈센조 봤었어,아 빈센조 유명했지/안 봤는데 송중기만 찾아 봤었다 하하/인생 드라마나 영화는 뭐가 있어?
너는 인생 드라마나 영화 있어?,음 드라마는 동백꽃 필 무렵이고 영화는 비포 시리즈야/진짜 로맨틱 하더라 하하/요즘 나오는 아이돌도 많이 알아?
좋아하는 가수 있어?,나는 요즘 누가 나오는지도 모르겠다/나이 먹어 가니까 확실히 아이돌에 관심이 없어지는 것 같아
정유미 나오는 거,로맨스가 필요해.../그건 시즌별로 김정훈 조여정 뭐 김소연 성준 이런 애들 나온 거 아닌가?/너가 말하는 건 연애의 발견 아냐?
진짜 재밌는데 이것두...,아 그래?/거기서도 나오다니 내가 안 본 시즌에 나왔나 보네/근데 이 정도면 정유미는 로맨스물 전문가 아냐?
당장 봐!,주말에 정주행이라도 해야 하나.../드라마 보면 그 배우들한테 또 빠질 것 같아 하하
정유미도 정유미인데 이진욱이 진짜 짱임...,이진욱 드라마 나올 때면 항상 멋있게 나오더라/나중에 볼게!
영화는 보통 어떤 장르 즐겨 봐?,나는 로코 제일 좋아해/그런 거 보면 괜히 내가 기분 좋아지더라 하하/너는 어떤 장르 좋아해?
좋아하는 배우는 따로 있어?,외국 배우는 그냥 영화에서나 몰입해서 봤지 딱히 좋아한다고 하긴 그렇고 국내 배우에서는 현빈 좋아해/잘생겼어 ㅠㅠ/너는 누구 좋아해?
인상 깊었던 드라마나 영화 속 캐릭터는 뭐야?,나는 인생 드라마인 동백꽃 필 무렵에서 공효진도 인상 깊었고 리틀 포레스트에 김태리 역도 좋았어/그렇게 살고 싶다는 생각이 들었지/보고 빠졌던 ost는 뭐가 있어?
맞아 리틀 포레스트 좋긴 했어~,나는 동백이 ost 완전 다 빠져 살았거든/드라마 자체가 인기 많았어서 노래도 유명했는데 아는 거 있어?
나는 아무리 공유가 좋아도 부산행 같은 장르는 못 보겠더라,좀비물 안 좋아하나 보구나?/나는 부산행도 재밌어서 되게 여러 번 봤는데/막 명절 때도 특선 영화로 하고 있는데 보고 또 보고 했어
너무 소름이었어 저 영화는,추격자는 마지막 장면이 기억에 남지/그거 소름인 건 인정인데 어떻게 영화를 그렇게 만들었나 싶어서 것도 여러 번 봤어 하하
베이비 드라이버라는 영화 알아?,아니 처음 들어보는데 무슨 영화야?/재밌어?
주말에 시간 나면 봐봐~,아아 나 그거 봤다!/나도 엄청 재밌게 봤어/나중에 또 추천해 줘
언니 매운 거 좋아해?,나는 좋아하는 편이야./너는?
나도 잘은 못 먹지만 좋아해!,그럼 너는 짠 거는 잘 먹는 편이야?
언니는?,나는 짠 거를 정말 못 먹어서 소금을 진짜 조금 해서 먹어!/나는 화장실 가는데 편하고 싶어서 복도 쪽에 앉는 편이야 거의!/나 탁구 초등학교 땐 괜찮았는데 지금은 못할 거 같아.../혹시 테니스는 배우고 싶은 생각 없고?/나는 골프 용어만 알고 전혀 몰라 골프에 대해서.../나도 항상 아이스이긴 하지만 너무 추우면 따뜻한 것도 먹어!/그럼 봄에 벚꽃 축제 가는 편이야?/나도 굳이 가지는 않아!/좀 사람 없을 때 가는 편! 간다면?/봄은 좋아해?/모더나가 더 예방률?이 좋다고 본 거 같아서 그거 맞고 싶어 난!/나도 종합검진은 없어!/그냥 받고 싶었던 애들 초음파만 해봤었어! 넌?/아 나도 비염 완전 있어!/근데 난 꽃 알레르기도 다 있단당 하하/아 그럴 수 있겠당!/나는 원래는 내가 직접 받았었어! 요새는 못하고 있지만.../택배함을 그럼 잘 이용해?/아 나는 택배함이 멀어서 그냥 문 앞에 두고 가세요가 90%정도야!/실제로 못 봤어!/코로나 끝나고 보길 기다리는 중이야...!/나는 불사조 기사단! 뒤에 갈수록 영화가 어둡긴 했는데 그 분위기도 나름 좋더라고?/가장 유명한 마법은 윙가르디움 레비오싸 아니겠어...?!/난 그거! 알지 알지?
그럼 신 거는 좋아해?,신 거는 젤리만 좋아하는 거 같아!/너는 그럼 레몬 이런 거 먹어?
"응, 나는 좋아해서 냉면 먹을 때도 식초 한 바가지 넣어!",아! 나는 냉면 먹을 때 아무것도 안 넣어!/그럼 와사비 이런 것도 잘 먹어?
언니는 어때?,나는 코 찡한 거 그런 거 좋아하긴 해!/그럼 초밥에도 와사비 많은 거 좋아해?/아 진짜 좋아하는구나!/나는 냉채족발을 안 먹어봤어./맛있어?
다음에 같이 먹자! 약속?,그래 나 데려가... 맛있게 먹을게!
언니 집은 자가야?,아니 나는 행복 주택 살아서 임대 주택이야.!
독립한 지 얼마나 됐어?,2019년도부터 혼자 살았어!/행복 주택이 저렴해서 이것저것 저렴해서 좋아~
주변에 편의 시설은 가까이 있어?,아니 행복 주택이 저렴은 한데 주변 상가가 아직 발달이 안 됐어./그게 조금 불편해.
나는 아파트에 살고 있어!,너 사는 데는 편의 시설 잘되어 있어?
응. 나는 집 바로 앞에 편의점도 있고 카페도 있고 음식점도 많아!,좋겠다! 그거 정말 중요하더라고/나는 카페 1개밖에 없어... 15분 정도 걸어서
그러면 주변엔 공원은 있어?,어! 맞다 그거 좋은 점 있다/공원 있어! 너도 주변에 있어 공원?
그럼 코인 빨래방은 근처에 있어?,어! 있는데 나는 집에서 빨래해서 가본 적은 없어./너는 자주 이용해?
집안일 참 힘들어. 그치?,제일 힘든 게 집안일이야... 티도 안 나 열심히 해도!
언니는 비행기 타는 거 무서워 해?,응 나는 무서워해서 비행기 이륙할 때 좀 떠는 편이야.../너는?
난 타는 거는 안 무서운데 장시간 비행은 귀가 너무 아파서 무서워... ㅠㅠ,아! 귀가 아프구나.../나는 귀가 아픈 적은 없었는데.../비행기 좌석은 그럼 어느 쪽을 좋아해?
그러면 기차는 자주 타 봤어?,나는 사실 기차 타는 걸 제일 좋아해/난 지난달까지는 통근 열차를 타고 다녔어~
기차도 그러면 복도 쪽 좌석을 좋아하겠네?,아니 기차는 또 특이하게 창문 쪽이 좋아! 기차는 화장실이 중요하지 않기 때문에.../너는?
나는 기차도 창가. 버스도 창가. 그래서 지하철도 야외로 나오면 좋더라!,3호선도 야외가 있어?/궁금해 2호선 야외만 겪어 봤어 하하
응! 한강 건널 때랑 종종 야외인 구간이 있어서 그 구간이 좋아!,아 몰랐어!/그 구간 되면 다들 사진 찍는 거 알지?/너도 그 사람들 중 한 명이니?
